leaid,per_pupil_exp
0402690,7747.225178652881
0402740,24663.45690900337
0402760,10190.47619047619
0402790,8227.086865463249
0402860,9467.252468520699
0402920,8593.145604561543
0403010,8085.865184667195
0403040,9753.70968625089
0403060,8033.707371703375
0403080,10944.824636441403
0403150,9327.13717693837
0403200,13504.103370001747
0403240,6971.138770058652
0403290,12447.574231177094
0403310,11183.88381353947
0403400,7617.209765015863
0403420,7250.093757969427
0403450,9335.67692703421
0403500,7133.964114694513
0403550,13776.26657599456
0403660,18222.66401590457
0403730,11663.639312358093
0403780,7591.930945942255
0403820,11836.524861277336
0403860,9602.06139368138
0403870,7742.082363654761
0403900,16348.030018761727
0403950,13291.879208324832
0403960,8387.23317471108
0403990,7506.585862200058
0404010,13590.795737927907
0404060,13051.919561243145
0404170,13072.388831437436
0404230,8732.591594643041
0404280,7098.582485433516
0404290,7835.272917122792
0404320,7783.264546881358
0404380,7262.100208729185
0404410,9380.700594844679
0404440,8253.581554991792
0404500,10054.953773975438
0404530,15812.456747404844
0404570,9146.798603026775
0404630,8451.428157169785
0404720,8304.841466954811
0404770,9720.061356415032
0404820,10253.554976967755
0404860,10943.523634131368
0404920,13289.70588235294
0404970,8428.80153698367
0405030,7426.405451448041
0405070,8829.722151414733
0405100,39278.301886792455
0405190,7529.1572360537875
0405220,10570.790816326531
0405320,7654.198587952531
0405340,10145.739910313901
0405360,11838.48797250859
0405400,10302.168247102534
0405430,8246.09571788413
0405460,9467.280440472967
0405500,66504.58715596331
0405640,11206.813489332415
0405670,9592.08121164643
0405730,15430.46357615894
0405760,17681.75937904269
0405820,9320.46937974819
0405850,8808.597969323828
0405880,8212.357747300846
0405930,9246.438327637108
0405980,8925.997219548712
0406000,16750
0406030,26427.480916030534
0406070,9558.094211311993
0406120,13318.06167400881
0406150,14472.595656670113
0406210,8393.643080877038
0406250,7983.265446602547
0406300,11816.980684087766
0406330,12208.181880529457
0406360,8934.417895271989
0406440,7315.101219665535
0406510,20636.835278858623
0406580,8447.031173783867
0406630,9509.817197020988
0406730,7319.326312234862
0406740,13085.6806128462
0406780,9673.231871083259
0406810,9516.131923283743
0406870,15156.546246477068
0406900,12124.07472682411
0407020,17541.272313406014
0407080,10251.765473859117
0407130,8955.910355939652
0407170,10897.702555736814
0407200,15429.632525410478
0407240,7128.794729363131
0407300,8948.322209015269
0407380,18562.5
0407430,18004.56621004566
