"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
1,NA,2011,208,62,0.298076923076923,51,0.245192307692308,1,0.00480769230769231,17,0.0817307692307692
2,NA,2013,112,28,0.25,NA,NA,3,0.0267857142857143,5,0.0446428571428571
3,NA,2015,277,18,0.0649819494584837,NA,NA,4,0.0144404332129964,164,0.592057761732852
4,NA,2017,125,28,0.224,NA,NA,1,0.008,8,0.064
9,100020,2011,1,1,1,1,1,NA,NA,NA,NA
10,100021,2011,1,NA,NA,1,1,NA,NA,NA,NA
17,100042,2011,1,NA,NA,1,1,NA,NA,NA,NA
18,100043,2011,1,NA,NA,1,1,NA,NA,NA,NA
23,100184,2011,1,NA,NA,1,1,NA,NA,NA,NA
33,100390,2011,9,NA,NA,NA,NA,2,0.222222222222222,NA,NA
34,100390,2013,10,1,0.1,NA,NA,2,0.2,NA,NA
35,100390,2015,10,NA,NA,NA,NA,2,0.2,NA,NA
36,100390,2017,10,NA,NA,NA,NA,2,0.2,NA,NA
57,100810,2011,2,NA,NA,2,1,NA,NA,NA,NA
64,100870,2017,3,NA,NA,NA,NA,1,0.333333333333333,NA,NA
69,100960,2011,3,NA,NA,2,0.666666666666667,NA,NA,NA,NA
73,101020,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
77,101050,2011,1,NA,NA,1,1,NA,NA,NA,NA
81,101140,2011,9,NA,NA,9,1,NA,NA,NA,NA
85,101170,2011,1,1,1,NA,NA,NA,NA,NA,NA
108,101740,2011,1,1,1,NA,NA,NA,NA,NA,NA
109,101740,2013,1,1,1,NA,NA,NA,NA,NA,NA
110,101770,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
114,101800,2011,2,NA,NA,1,0.5,2,1,NA,NA
115,101800,2013,5,5,1,NA,NA,5,1,NA,NA
116,101800,2015,5,NA,NA,NA,NA,2,0.4,NA,NA
117,101800,2017,6,NA,NA,NA,NA,2,0.333333333333333,NA,NA
123,101920,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
131,102010,2011,6,NA,NA,1,0.166666666666667,NA,NA,NA,NA
137,102100,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
141,102190,2011,1,NA,NA,1,1,NA,NA,NA,NA
145,102220,2011,3,NA,NA,2,0.666666666666667,NA,NA,NA,NA
156,102370,2017,4,1,0.25,NA,NA,NA,NA,NA,NA
165,102480,2011,5,NA,NA,1,0.2,NA,NA,NA,NA
169,102580,2011,1,1,1,NA,NA,NA,NA,NA,NA
182,103030,2011,1,NA,NA,1,1,NA,NA,NA,NA
198,103210,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
202,103360,2017,1,NA,NA,NA,NA,1,1,NA,NA
205,103390,2017,1,1,1,NA,NA,NA,NA,NA,NA
210,103480,2011,3,NA,NA,1,0.333333333333333,NA,NA,NA,NA
214,200001,2011,22,NA,NA,22,1,NA,NA,NA,NA
218,200003,2011,11,NA,NA,11,1,NA,NA,NA,NA
222,200004,2011,3,NA,NA,3,1,NA,NA,NA,NA
233,200010,2011,2,NA,NA,2,1,NA,NA,NA,NA
243,200070,2011,3,NA,NA,3,1,NA,NA,NA,NA
257,200130,2013,1,1,1,NA,NA,NA,NA,NA,NA
260,200150,2011,2,NA,NA,NA,NA,NA,NA,1,0.5
261,200150,2013,2,1,0.5,NA,NA,NA,NA,1,0.5
262,200150,2015,2,NA,NA,NA,NA,NA,NA,1,0.5
263,200150,2017,2,NA,NA,NA,NA,NA,NA,1,0.5
264,200180,2011,12,3,0.25,NA,NA,NA,NA,4,0.333333333333333
265,200180,2013,9,NA,NA,NA,NA,NA,NA,5,0.555555555555556
266,200180,2015,10,NA,NA,NA,NA,NA,NA,6,0.6
267,200180,2017,11,NA,NA,NA,NA,NA,NA,6,0.545454545454545
268,200210,2011,2,NA,NA,1,0.5,NA,NA,1,0.5
269,200210,2013,2,1,0.5,NA,NA,1,0.5,1,0.5
270,200210,2015,2,NA,NA,NA,NA,NA,NA,1,0.5
271,200210,2017,2,NA,NA,NA,NA,NA,NA,1,0.5
273,200240,2013,1,1,1,NA,NA,NA,NA,NA,NA
288,200390,2011,13,NA,NA,NA,NA,NA,NA,1,0.0769230769230769
289,200390,2013,15,1,0.0666666666666667,NA,NA,NA,NA,1,0.0666666666666667
290,200390,2015,16,1,0.0625,NA,NA,NA,NA,1,0.0625
291,200390,2017,16,1,0.0625,NA,NA,NA,NA,1,0.0625
292,200450,2011,1,NA,NA,1,1,NA,NA,NA,NA
297,200480,2013,2,1,0.5,NA,NA,NA,NA,NA,NA
300,200485,2011,14,NA,NA,14,1,NA,NA,3,0.214285714285714
304,200510,2011,11,3,0.272727272727273,NA,NA,NA,NA,6,0.545454545454545
305,200510,2013,8,NA,NA,NA,NA,NA,NA,6,0.75
306,200510,2015,8,NA,NA,NA,NA,NA,NA,6,0.75
307,200510,2017,9,NA,NA,NA,NA,1,0.111111111111111,6,0.666666666666667
311,200540,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
312,200540,2013,2,1,0.5,NA,NA,NA,NA,NA,NA
317,200600,2011,6,NA,NA,NA,NA,1,0.166666666666667,2,0.333333333333333
318,200600,2013,6,2,0.333333333333333,NA,NA,1,0.166666666666667,2,0.333333333333333
319,200600,2015,6,NA,NA,NA,NA,1,0.166666666666667,2,0.333333333333333
320,200600,2017,6,1,0.166666666666667,NA,NA,1,0.166666666666667,2,0.333333333333333
330,200670,2011,2,NA,NA,2,1,NA,NA,NA,NA
342,200700,2011,10,NA,NA,9,0.9,NA,NA,NA,NA
346,200710,2011,8,NA,NA,7,0.875,NA,NA,NA,NA
353,200730,2011,5,NA,NA,1,0.2,NA,NA,NA,NA
357,200760,2011,4,NA,NA,3,0.75,NA,NA,NA,NA
360,200770,2011,4,NA,NA,1,0.25,NA,NA,NA,NA
371,200800,2013,1,1,1,NA,NA,NA,NA,NA,NA
376,200840,2011,1,NA,NA,1,1,NA,NA,NA,NA
380,200862,2011,9,NA,NA,2,0.222222222222222,NA,NA,NA,NA
392,400016,2011,1,NA,NA,NA,NA,NA,NA,1,1
393,400016,2013,1,NA,NA,NA,NA,NA,NA,1,1
394,400016,2015,1,NA,NA,NA,NA,NA,NA,1,1
395,400016,2017,1,NA,NA,NA,NA,NA,NA,1,1
396,400018,2011,1,NA,NA,1,1,NA,NA,1,1
397,400018,2013,1,NA,NA,NA,NA,NA,NA,1,1
398,400018,2015,1,NA,NA,NA,NA,NA,NA,1,1
399,400018,2017,1,NA,NA,NA,NA,NA,NA,1,1
400,400020,2011,1,NA,NA,NA,NA,NA,NA,1,1
401,400020,2013,1,NA,NA,NA,NA,NA,NA,1,1
402,400020,2015,1,NA,NA,NA,NA,NA,NA,1,1
403,400020,2017,1,NA,NA,NA,NA,NA,NA,1,1
404,400021,2011,1,NA,NA,1,1,NA,NA,NA,NA
410,400028,2011,1,NA,NA,1,1,NA,NA,1,1
411,400028,2013,1,NA,NA,NA,NA,NA,NA,1,1
412,400028,2015,1,NA,NA,NA,NA,NA,NA,1,1
413,400028,2017,1,NA,NA,NA,NA,NA,NA,1,1
414,400031,2011,1,NA,NA,NA,NA,NA,NA,1,1
415,400031,2013,1,NA,NA,NA,NA,NA,NA,1,1
416,400031,2015,1,NA,NA,NA,NA,NA,NA,1,1
417,400031,2017,1,NA,NA,NA,NA,NA,NA,1,1
418,400033,2011,1,NA,NA,1,1,NA,NA,1,1
419,400033,2013,1,NA,NA,NA,NA,NA,NA,1,1
420,400033,2015,1,NA,NA,NA,NA,NA,NA,1,1
421,400033,2017,1,NA,NA,NA,NA,NA,NA,1,1
422,400034,2011,1,NA,NA,NA,NA,NA,NA,1,1
423,400034,2013,1,NA,NA,NA,NA,NA,NA,1,1
424,400034,2015,1,NA,NA,NA,NA,NA,NA,1,1
425,400034,2017,1,NA,NA,NA,NA,NA,NA,1,1
426,400036,2011,1,NA,NA,NA,NA,NA,NA,1,1
427,400036,2013,1,NA,NA,NA,NA,NA,NA,1,1
428,400036,2015,1,NA,NA,NA,NA,NA,NA,1,1
429,400036,2017,1,NA,NA,NA,NA,NA,NA,1,1
430,400037,2011,1,NA,NA,NA,NA,NA,NA,1,1
431,400037,2013,1,NA,NA,NA,NA,NA,NA,1,1
432,400037,2015,1,NA,NA,NA,NA,NA,NA,1,1
433,400040,2015,1,NA,NA,NA,NA,NA,NA,1,1
434,400040,2017,1,NA,NA,NA,NA,NA,NA,1,1
435,400054,2011,1,NA,NA,NA,NA,NA,NA,1,1
436,400054,2013,1,NA,NA,NA,NA,NA,NA,1,1
437,400054,2015,1,NA,NA,NA,NA,NA,NA,1,1
438,400054,2017,1,NA,NA,NA,NA,NA,NA,1,1
439,400055,2011,1,NA,NA,NA,NA,NA,NA,1,1
440,400055,2013,1,NA,NA,NA,NA,NA,NA,1,1
441,400055,2015,1,NA,NA,NA,NA,NA,NA,1,1
442,400055,2017,1,NA,NA,NA,NA,NA,NA,1,1
443,400068,2011,1,NA,NA,1,1,NA,NA,1,1
444,400068,2013,1,NA,NA,NA,NA,NA,NA,1,1
445,400068,2015,1,NA,NA,NA,NA,NA,NA,1,1
446,400068,2017,1,NA,NA,NA,NA,NA,NA,1,1
447,400074,2013,1,NA,NA,NA,NA,NA,NA,1,1
448,400075,2011,1,NA,NA,NA,NA,NA,NA,1,1
449,400075,2013,1,NA,NA,NA,NA,NA,NA,1,1
450,400075,2015,1,NA,NA,NA,NA,NA,NA,1,1
451,400075,2017,1,NA,NA,NA,NA,NA,NA,1,1
452,400081,2011,1,NA,NA,NA,NA,NA,NA,1,1
453,400081,2013,1,NA,NA,NA,NA,NA,NA,1,1
454,400081,2015,1,NA,NA,NA,NA,NA,NA,1,1
455,400081,2017,1,NA,NA,NA,NA,NA,NA,1,1
456,400089,2013,1,NA,NA,NA,NA,NA,NA,1,1
457,400089,2015,1,NA,NA,NA,NA,NA,NA,1,1
458,400089,2017,1,NA,NA,NA,NA,NA,NA,1,1
459,400090,2011,1,NA,NA,NA,NA,NA,NA,1,1
460,400090,2013,1,NA,NA,NA,NA,NA,NA,1,1
461,400090,2015,1,NA,NA,NA,NA,NA,NA,1,1
462,400090,2017,1,NA,NA,NA,NA,NA,NA,1,1
463,400092,2011,1,NA,NA,1,1,NA,NA,1,1
464,400092,2013,1,NA,NA,NA,NA,NA,NA,1,1
465,400092,2015,1,NA,NA,NA,NA,NA,NA,1,1
466,400092,2017,1,NA,NA,NA,NA,NA,NA,1,1
467,400093,2011,1,NA,NA,NA,NA,NA,NA,1,1
468,400093,2013,1,NA,NA,NA,NA,NA,NA,1,1
469,400093,2015,1,NA,NA,NA,NA,NA,NA,1,1
470,400093,2017,1,NA,NA,NA,NA,NA,NA,1,1
471,400098,2011,1,NA,NA,NA,NA,NA,NA,1,1
472,400098,2013,1,NA,NA,NA,NA,NA,NA,1,1
473,400098,2015,1,NA,NA,NA,NA,NA,NA,1,1
474,400098,2017,1,NA,NA,NA,NA,NA,NA,1,1
475,400100,2011,1,NA,NA,1,1,NA,NA,1,1
476,400100,2013,1,NA,NA,NA,NA,NA,NA,1,1
477,400100,2015,1,NA,NA,NA,NA,NA,NA,1,1
478,400100,2017,1,NA,NA,NA,NA,NA,NA,1,1
479,400102,2011,1,NA,NA,NA,NA,NA,NA,1,1
480,400102,2013,1,NA,NA,NA,NA,NA,NA,1,1
481,400102,2015,1,NA,NA,NA,NA,NA,NA,1,1
482,400102,2017,1,NA,NA,NA,NA,NA,NA,1,1
484,400109,2011,1,NA,NA,1,1,NA,NA,1,1
485,400109,2013,1,NA,NA,NA,NA,NA,NA,1,1
486,400109,2015,1,NA,NA,NA,NA,NA,NA,1,1
487,400109,2017,1,NA,NA,NA,NA,1,1,1,1
488,400111,2011,1,NA,NA,NA,NA,NA,NA,1,1
489,400111,2013,1,NA,NA,NA,NA,NA,NA,1,1
490,400111,2015,1,NA,NA,NA,NA,NA,NA,1,1
491,400111,2017,1,NA,NA,NA,NA,NA,NA,1,1
492,400112,2011,2,NA,NA,NA,NA,NA,NA,2,1
493,400112,2013,1,NA,NA,NA,NA,NA,NA,1,1
494,400112,2015,1,NA,NA,NA,NA,NA,NA,1,1
495,400112,2017,3,NA,NA,NA,NA,NA,NA,3,1
496,400113,2011,1,NA,NA,NA,NA,NA,NA,1,1
497,400113,2013,1,NA,NA,NA,NA,NA,NA,1,1
498,400113,2015,1,NA,NA,NA,NA,NA,NA,1,1
499,400113,2017,1,NA,NA,NA,NA,NA,NA,1,1
500,400115,2011,1,NA,NA,NA,NA,NA,NA,1,1
501,400115,2013,1,NA,NA,NA,NA,NA,NA,1,1
502,400115,2015,1,NA,NA,NA,NA,NA,NA,1,1
503,400115,2017,1,NA,NA,NA,NA,NA,NA,1,1
504,400122,2011,1,NA,NA,NA,NA,NA,NA,1,1
505,400122,2013,1,NA,NA,NA,NA,NA,NA,1,1
506,400122,2015,1,NA,NA,NA,NA,NA,NA,1,1
507,400122,2017,1,NA,NA,NA,NA,NA,NA,1,1
508,400128,2011,2,NA,NA,NA,NA,NA,NA,2,1
509,400128,2013,1,NA,NA,NA,NA,NA,NA,1,1
510,400128,2015,1,NA,NA,NA,NA,NA,NA,1,1
511,400129,2013,1,NA,NA,NA,NA,NA,NA,1,1
512,400129,2015,1,NA,NA,NA,NA,NA,NA,1,1
513,400129,2017,1,NA,NA,NA,NA,NA,NA,1,1
514,400130,2011,2,NA,NA,NA,NA,NA,NA,2,1
515,400130,2013,2,NA,NA,NA,NA,NA,NA,2,1
516,400130,2015,2,NA,NA,NA,NA,NA,NA,2,1
517,400130,2017,2,NA,NA,NA,NA,NA,NA,2,1
518,400131,2013,2,NA,NA,NA,NA,NA,NA,2,1
519,400131,2015,2,NA,NA,NA,NA,NA,NA,2,1
520,400131,2017,2,NA,NA,NA,NA,NA,NA,2,1
521,400133,2011,1,NA,NA,NA,NA,NA,NA,1,1
522,400133,2013,1,NA,NA,NA,NA,NA,NA,1,1
523,400133,2015,1,NA,NA,NA,NA,NA,NA,1,1
524,400150,2011,1,NA,NA,NA,NA,NA,NA,1,1
525,400150,2013,1,NA,NA,NA,NA,NA,NA,1,1
527,400150,2017,1,NA,NA,NA,NA,NA,NA,1,1
528,400152,2011,1,NA,NA,1,1,NA,NA,1,1
529,400157,2011,2,NA,NA,NA,NA,NA,NA,2,1
530,400157,2013,1,NA,NA,NA,NA,NA,NA,1,1
531,400157,2015,1,NA,NA,NA,NA,NA,NA,1,1
532,400157,2017,1,NA,NA,NA,NA,NA,NA,1,1
533,400164,2011,1,NA,NA,NA,NA,NA,NA,1,1
534,400164,2013,1,NA,NA,NA,NA,NA,NA,1,1
535,400164,2015,1,NA,NA,NA,NA,NA,NA,1,1
536,400165,2011,1,NA,NA,NA,NA,NA,NA,1,1
537,400165,2013,1,NA,NA,NA,NA,NA,NA,1,1
538,400165,2015,1,NA,NA,NA,NA,NA,NA,1,1
539,400165,2017,1,NA,NA,NA,NA,NA,NA,1,1
540,400182,2011,2,NA,NA,NA,NA,NA,NA,2,1
541,400182,2013,1,NA,NA,NA,NA,NA,NA,1,1
542,400182,2015,1,NA,NA,NA,NA,NA,NA,1,1
543,400182,2017,1,NA,NA,NA,NA,NA,NA,1,1
544,400184,2011,1,NA,NA,1,1,NA,NA,1,1
545,400184,2013,1,NA,NA,NA,NA,NA,NA,1,1
546,400184,2015,1,NA,NA,NA,NA,NA,NA,1,1
547,400184,2017,1,NA,NA,NA,NA,NA,NA,1,1
548,400185,2011,1,NA,NA,1,1,NA,NA,1,1
549,400185,2013,1,NA,NA,NA,NA,NA,NA,1,1
550,400185,2015,1,NA,NA,NA,NA,NA,NA,1,1
551,400185,2017,1,NA,NA,NA,NA,NA,NA,1,1
552,400187,2011,1,NA,NA,NA,NA,NA,NA,1,1
553,400187,2013,1,NA,NA,NA,NA,NA,NA,1,1
554,400187,2015,1,NA,NA,NA,NA,NA,NA,1,1
555,400187,2017,1,NA,NA,NA,NA,NA,NA,1,1
556,400190,2011,1,NA,NA,1,1,NA,NA,1,1
557,400190,2013,1,NA,NA,NA,NA,NA,NA,1,1
558,400190,2015,1,NA,NA,NA,NA,NA,NA,1,1
559,400190,2017,2,NA,NA,NA,NA,NA,NA,2,1
560,400191,2011,1,NA,NA,NA,NA,NA,NA,1,1
561,400191,2013,1,NA,NA,NA,NA,NA,NA,1,1
562,400191,2015,2,NA,NA,NA,NA,NA,NA,2,1
563,400191,2017,3,NA,NA,NA,NA,NA,NA,3,1
564,400205,2013,1,NA,NA,NA,NA,NA,NA,1,1
565,400205,2015,1,NA,NA,NA,NA,NA,NA,1,1
566,400205,2017,1,NA,NA,NA,NA,NA,NA,1,1
567,400206,2011,1,NA,NA,NA,NA,NA,NA,1,1
568,400206,2013,1,NA,NA,NA,NA,NA,NA,1,1
569,400208,2011,1,NA,NA,1,1,NA,NA,1,1
570,400208,2013,1,NA,NA,NA,NA,NA,NA,1,1
571,400208,2015,1,NA,NA,NA,NA,NA,NA,1,1
572,400208,2017,1,NA,NA,NA,NA,NA,NA,1,1
573,400210,2011,1,NA,NA,1,1,NA,NA,1,1
574,400210,2013,1,NA,NA,NA,NA,NA,NA,1,1
575,400210,2015,1,NA,NA,NA,NA,NA,NA,1,1
576,400210,2017,1,NA,NA,NA,NA,NA,NA,1,1
577,400213,2011,1,NA,NA,NA,NA,NA,NA,1,1
578,400213,2013,1,NA,NA,NA,NA,NA,NA,1,1
579,400213,2015,1,NA,NA,NA,NA,NA,NA,1,1
580,400213,2017,1,NA,NA,NA,NA,NA,NA,1,1
581,400214,2011,1,NA,NA,NA,NA,NA,NA,1,1
582,400214,2017,1,NA,NA,NA,NA,NA,NA,1,1
583,400217,2011,1,NA,NA,1,1,NA,NA,1,1
584,400219,2011,1,1,1,1,1,NA,NA,1,1
585,400219,2013,1,1,1,NA,NA,NA,NA,1,1
586,400219,2015,1,1,1,NA,NA,NA,NA,1,1
587,400223,2011,1,NA,NA,1,1,NA,NA,1,1
588,400223,2013,1,NA,NA,NA,NA,NA,NA,1,1
589,400223,2015,1,NA,NA,NA,NA,NA,NA,1,1
590,400223,2017,1,NA,NA,NA,NA,NA,NA,1,1
591,400225,2011,1,NA,NA,1,1,NA,NA,1,1
592,400225,2013,1,NA,NA,NA,NA,NA,NA,1,1
593,400229,2011,1,NA,NA,NA,NA,NA,NA,1,1
594,400229,2013,1,NA,NA,NA,NA,NA,NA,1,1
595,400229,2015,1,NA,NA,NA,NA,NA,NA,1,1
596,400229,2017,1,NA,NA,NA,NA,NA,NA,1,1
597,400232,2011,1,NA,NA,NA,NA,NA,NA,1,1
598,400232,2013,1,NA,NA,NA,NA,NA,NA,1,1
599,400232,2015,1,NA,NA,NA,NA,NA,NA,1,1
600,400232,2017,1,NA,NA,NA,NA,NA,NA,1,1
601,400235,2011,1,NA,NA,NA,NA,NA,NA,1,1
602,400235,2013,1,NA,NA,NA,NA,NA,NA,1,1
603,400235,2015,1,NA,NA,NA,NA,NA,NA,1,1
604,400235,2017,1,NA,NA,NA,NA,NA,NA,1,1
605,400237,2011,1,NA,NA,1,1,NA,NA,1,1
606,400237,2013,1,NA,NA,NA,NA,NA,NA,1,1
607,400237,2015,1,NA,NA,NA,NA,NA,NA,1,1
608,400237,2017,1,NA,NA,NA,NA,NA,NA,1,1
609,400239,2011,1,NA,NA,NA,NA,NA,NA,1,1
610,400239,2013,1,NA,NA,NA,NA,NA,NA,1,1
611,400239,2015,1,NA,NA,NA,NA,NA,NA,1,1
612,400239,2017,1,NA,NA,NA,NA,NA,NA,1,1
613,400241,2011,1,NA,NA,1,1,NA,NA,1,1
614,400241,2013,1,NA,NA,NA,NA,NA,NA,1,1
615,400241,2015,1,NA,NA,NA,NA,NA,NA,1,1
616,400241,2017,1,NA,NA,NA,NA,NA,NA,1,1
617,400244,2011,1,NA,NA,NA,NA,NA,NA,1,1
618,400245,2011,1,NA,NA,NA,NA,NA,NA,1,1
619,400246,2011,1,NA,NA,1,1,NA,NA,1,1
620,400246,2013,1,NA,NA,NA,NA,NA,NA,1,1
621,400246,2015,1,NA,NA,NA,NA,NA,NA,1,1
622,400246,2017,1,NA,NA,NA,NA,NA,NA,1,1
623,400248,2013,1,NA,NA,NA,NA,NA,NA,1,1
624,400248,2015,1,NA,NA,NA,NA,NA,NA,1,1
625,400248,2017,1,NA,NA,NA,NA,NA,NA,1,1
626,400255,2011,1,NA,NA,1,1,NA,NA,1,1
627,400255,2013,1,NA,NA,NA,NA,NA,NA,1,1
628,400255,2015,1,NA,NA,NA,NA,NA,NA,1,1
629,400255,2017,1,NA,NA,NA,NA,NA,NA,1,1
630,400256,2011,1,NA,NA,1,1,NA,NA,1,1
631,400256,2013,1,NA,NA,NA,NA,NA,NA,1,1
632,400258,2011,1,NA,NA,1,1,NA,NA,1,1
633,400258,2013,1,NA,NA,NA,NA,NA,NA,1,1
634,400258,2015,1,NA,NA,NA,NA,NA,NA,1,1
635,400258,2017,1,NA,NA,NA,NA,NA,NA,1,1
636,400259,2011,1,1,1,NA,NA,NA,NA,1,1
637,400259,2013,1,1,1,NA,NA,NA,NA,1,1
638,400259,2015,1,1,1,NA,NA,NA,NA,1,1
639,400259,2017,1,1,1,NA,NA,NA,NA,1,1
640,400260,2011,1,NA,NA,NA,NA,NA,NA,1,1
641,400263,2011,1,NA,NA,NA,NA,NA,NA,1,1
642,400263,2015,1,NA,NA,NA,NA,NA,NA,1,1
643,400263,2017,1,NA,NA,NA,NA,NA,NA,1,1
644,400281,2011,1,NA,NA,1,1,NA,NA,1,1
645,400281,2013,1,NA,NA,NA,NA,NA,NA,1,1
646,400281,2015,1,NA,NA,NA,NA,NA,NA,1,1
647,400281,2017,1,NA,NA,NA,NA,NA,NA,1,1
648,400282,2011,1,NA,NA,1,1,NA,NA,1,1
649,400282,2013,1,NA,NA,NA,NA,NA,NA,1,1
650,400282,2015,3,NA,NA,NA,NA,NA,NA,3,1
651,400282,2017,3,NA,NA,NA,NA,NA,NA,3,1
652,400284,2011,1,NA,NA,NA,NA,NA,NA,1,1
653,400284,2013,1,NA,NA,NA,NA,NA,NA,1,1
654,400284,2015,1,NA,NA,NA,NA,NA,NA,1,1
655,400284,2017,1,NA,NA,NA,NA,NA,NA,1,1
656,400290,2011,1,NA,NA,NA,NA,NA,NA,1,1
657,400290,2013,1,NA,NA,NA,NA,NA,NA,1,1
658,400290,2015,1,NA,NA,NA,NA,NA,NA,1,1
659,400290,2017,1,NA,NA,NA,NA,NA,NA,1,1
660,400295,2011,2,NA,NA,1,0.5,NA,NA,NA,NA
664,400298,2011,1,NA,NA,1,1,NA,NA,1,1
665,400298,2013,1,NA,NA,NA,NA,NA,NA,1,1
666,400299,2011,1,NA,NA,1,1,NA,NA,1,1
667,400299,2013,1,NA,NA,NA,NA,NA,NA,1,1
668,400310,2011,2,NA,NA,1,0.5,NA,NA,2,1
669,400310,2013,1,NA,NA,NA,NA,NA,NA,1,1
670,400310,2015,1,NA,NA,NA,NA,NA,NA,1,1
671,400310,2017,1,NA,NA,NA,NA,NA,NA,1,1
672,400317,2011,1,NA,NA,NA,NA,NA,NA,1,1
673,400317,2013,1,NA,NA,NA,NA,NA,NA,1,1
674,400317,2015,1,NA,NA,NA,NA,NA,NA,1,1
675,400317,2017,1,NA,NA,NA,NA,NA,NA,1,1
676,400318,2011,1,NA,NA,NA,NA,NA,NA,1,1
677,400318,2013,1,NA,NA,NA,NA,NA,NA,1,1
678,400318,2015,1,NA,NA,NA,NA,NA,NA,1,1
679,400318,2017,1,NA,NA,NA,NA,NA,NA,1,1
680,400320,2011,1,NA,NA,1,1,NA,NA,1,1
681,400320,2013,1,NA,NA,NA,NA,NA,NA,1,1
682,400320,2015,1,NA,NA,NA,NA,NA,NA,1,1
683,400320,2017,1,NA,NA,NA,NA,NA,NA,1,1
684,400326,2011,1,NA,NA,NA,NA,NA,NA,1,1
685,400326,2013,1,NA,NA,NA,NA,NA,NA,1,1
686,400326,2015,1,NA,NA,NA,NA,NA,NA,1,1
687,400326,2017,1,NA,NA,NA,NA,NA,NA,1,1
688,400338,2011,1,NA,NA,NA,NA,NA,NA,1,1
689,400339,2011,1,NA,NA,NA,NA,NA,NA,1,1
690,400339,2013,1,NA,NA,NA,NA,NA,NA,1,1
691,400339,2015,1,NA,NA,NA,NA,NA,NA,1,1
692,400339,2017,1,NA,NA,NA,NA,NA,NA,1,1
693,400350,2011,1,NA,NA,1,1,NA,NA,1,1
694,400350,2013,1,NA,NA,NA,NA,NA,NA,1,1
695,400350,2015,1,NA,NA,NA,NA,NA,NA,1,1
696,400350,2017,1,NA,NA,NA,NA,NA,NA,1,1
697,400356,2011,1,NA,NA,1,1,NA,NA,1,1
698,400356,2013,1,NA,NA,NA,NA,NA,NA,1,1
699,400356,2015,1,1,1,NA,NA,NA,NA,1,1
700,400356,2017,1,1,1,NA,NA,NA,NA,1,1
701,400360,2011,1,NA,NA,1,1,NA,NA,1,1
702,400361,2011,2,NA,NA,NA,NA,NA,NA,2,1
703,400361,2013,3,NA,NA,NA,NA,NA,NA,3,1
704,400361,2015,3,NA,NA,NA,NA,NA,NA,3,1
705,400361,2017,3,NA,NA,NA,NA,NA,NA,3,1
706,400366,2011,1,NA,NA,NA,NA,NA,NA,1,1
707,400366,2013,1,NA,NA,NA,NA,NA,NA,1,1
708,400366,2015,1,NA,NA,NA,NA,NA,NA,1,1
709,400366,2017,1,NA,NA,NA,NA,NA,NA,1,1
710,400368,2011,1,NA,NA,1,1,NA,NA,1,1
711,400368,2013,1,NA,NA,NA,NA,NA,NA,1,1
712,400368,2015,1,NA,NA,NA,NA,NA,NA,1,1
713,400368,2017,1,NA,NA,NA,NA,NA,NA,1,1
714,400373,2011,4,NA,NA,NA,NA,NA,NA,4,1
715,400373,2013,4,NA,NA,NA,NA,NA,NA,4,1
716,400373,2015,4,NA,NA,NA,NA,NA,NA,4,1
717,400373,2017,4,NA,NA,NA,NA,NA,NA,4,1
718,400374,2011,1,NA,NA,1,1,NA,NA,1,1
719,400374,2013,1,NA,NA,NA,NA,NA,NA,1,1
720,400374,2015,1,NA,NA,NA,NA,NA,NA,1,1
721,400374,2017,1,NA,NA,NA,NA,NA,NA,1,1
722,400375,2011,1,NA,NA,NA,NA,NA,NA,1,1
723,400375,2013,1,NA,NA,NA,NA,NA,NA,1,1
724,400390,2011,1,NA,NA,NA,NA,NA,NA,1,1
725,400390,2013,1,NA,NA,NA,NA,NA,NA,1,1
726,400390,2015,1,NA,NA,NA,NA,NA,NA,1,1
727,400393,2011,1,NA,NA,NA,NA,NA,NA,1,1
728,400393,2013,1,NA,NA,NA,NA,NA,NA,1,1
729,400398,2011,1,NA,NA,1,1,NA,NA,1,1
730,400398,2013,1,NA,NA,NA,NA,NA,NA,1,1
731,400398,2015,1,NA,NA,NA,NA,NA,NA,1,1
732,400399,2011,1,NA,NA,1,1,NA,NA,1,1
733,400399,2013,1,NA,NA,NA,NA,NA,NA,1,1
734,400399,2015,1,NA,NA,NA,NA,NA,NA,1,1
735,400399,2017,1,NA,NA,NA,NA,NA,NA,1,1
737,400401,2013,1,NA,NA,NA,NA,NA,NA,1,1
738,400401,2015,1,NA,NA,NA,NA,NA,NA,1,1
739,400401,2017,1,NA,NA,NA,NA,NA,NA,1,1
740,400402,2011,1,NA,NA,NA,NA,NA,NA,1,1
741,400402,2013,1,NA,NA,NA,NA,NA,NA,1,1
742,400402,2015,2,NA,NA,NA,NA,NA,NA,2,1
743,400402,2017,2,NA,NA,NA,NA,NA,NA,2,1
744,400409,2011,1,NA,NA,1,1,NA,NA,1,1
745,400409,2013,1,NA,NA,NA,NA,NA,NA,1,1
746,400409,2015,1,NA,NA,NA,NA,NA,NA,1,1
