"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
5896,1800051,2017,1,NA,NA,NA,NA,NA,NA,1,1
5897,1800052,2011,1,NA,NA,1,1,NA,NA,1,1
5898,1800052,2013,1,NA,NA,NA,NA,NA,NA,1,1
5899,1800052,2015,1,NA,NA,NA,NA,NA,NA,1,1
5900,1800052,2017,1,NA,NA,NA,NA,NA,NA,1,1
5901,1800053,2011,1,NA,NA,NA,NA,NA,NA,1,1
5902,1800054,2011,1,NA,NA,1,1,NA,NA,1,1
5903,1800054,2017,1,NA,NA,NA,NA,NA,NA,1,1
5904,1800061,2011,1,NA,NA,NA,NA,NA,NA,1,1
5905,1800061,2013,1,NA,NA,NA,NA,NA,NA,1,1
5906,1800061,2015,1,NA,NA,NA,NA,NA,NA,1,1
5907,1800061,2017,1,NA,NA,NA,NA,NA,NA,1,1
5908,1800063,2011,1,NA,NA,1,1,NA,NA,1,1
5909,1800065,2011,1,NA,NA,1,1,NA,NA,1,1
5910,1800065,2013,1,NA,NA,NA,NA,NA,NA,1,1
5911,1800065,2015,1,NA,NA,NA,NA,NA,NA,1,1
5912,1800065,2017,1,NA,NA,NA,NA,NA,NA,1,1
5913,1800066,2011,1,NA,NA,1,1,NA,NA,1,1
5914,1800067,2011,1,NA,NA,1,1,NA,NA,1,1
5915,1800067,2013,1,NA,NA,NA,NA,NA,NA,1,1
5916,1800067,2015,1,NA,NA,NA,NA,NA,NA,1,1
5917,1800067,2017,1,NA,NA,NA,NA,NA,NA,1,1
5918,1800069,2011,1,NA,NA,NA,NA,NA,NA,1,1
5919,1800071,2011,1,NA,NA,NA,NA,NA,NA,1,1
5920,1800071,2013,1,NA,NA,NA,NA,NA,NA,1,1
5921,1800071,2015,1,NA,NA,NA,NA,NA,NA,1,1
5922,1800071,2017,1,NA,NA,NA,NA,NA,NA,1,1
5923,1800072,2013,1,NA,NA,NA,NA,NA,NA,1,1
5924,1800072,2015,1,NA,NA,NA,NA,NA,NA,1,1
5925,1800072,2017,1,NA,NA,NA,NA,NA,NA,1,1
5926,1800076,2011,1,NA,NA,NA,NA,NA,NA,1,1
5927,1800077,2011,1,NA,NA,1,1,NA,NA,1,1
5928,1800077,2017,1,NA,NA,NA,NA,NA,NA,1,1
5929,1800081,2011,1,NA,NA,NA,NA,NA,NA,1,1
5930,1800081,2013,1,NA,NA,NA,NA,NA,NA,1,1
5931,1800081,2015,1,NA,NA,NA,NA,NA,NA,1,1
5932,1800083,2011,1,NA,NA,1,1,NA,NA,1,1
5933,1800083,2013,1,NA,NA,NA,NA,NA,NA,1,1
5934,1800083,2015,1,NA,NA,NA,NA,NA,NA,1,1
