"","vars","n","mean","sd","min","max","range","se"
"rswhthsp",281,56071,0.0293782533508754,0.0691668670428993,0,0.73826009,0.73826009,0.00029209824906691
"rsflnfl",282,56881,0.0288757661876387,0.0596057923716449,0,0.50661629,0.50661629,0.000249922210933592
"rsecdnec",283,56385,0.0354614691941889,0.0692567169635543,0,0.93270999,0.93270999,0.000291662173630726
"diffexpmin2_blkwht",284,54349,0.0297861464270528,0.0722925566429455,-0.16521344,1,1.16521344,0.000310097171648478
"diffexpmin2_hspwht",285,56096,0.02841556586358,0.0668079539502729,-0.1575042,1,1.1575042,0.000282073458933486
"ses_all_bayes",286,55112,0.317357914577262,0.842825666545471,-4.4121923,2.9377589,7.3499512,0.00359016713356852
"ses_black_bayes",287,12814,-1.41267442120446,1.2278743472401,-5.6822219,1.6418602,7.3240821,0.0108470481089356
"ses_hsp_bayes",288,17695,-0.420715371729033,0.813427321450708,-4.2396731,2.0598078,6.2994809,0.00611495790799782
"ses_white_bayes",289,54000,0.612223095985971,0.65351781557772,-2.5859127,2.9462008,5.5321135,0.00281229290686929
"ses_gap_white_black_bayes",290,12707,2.01951210694523,0.874432773841398,-1.6793625,4.746356,6.4257185,0.00775719862300444
"ses_gap_white_hsp_bayes",291,17230,1.1245046195802,0.494866140488079,-0.40447247,4.3517723,4.75624477,0.00377003255982257
"log_median_income_all_bayes",292,55112,10.8731840434515,0.318045427587841,9.635911,12.32825,2.692339,0.00135477155766709
"baplus_rate_all_bayes",293,55112,0.236420483577635,0.130012157202965,0.0065250359,0.89374143,0.8872163941,0.000553810108403061
"unemployment_rate_all_bayes",294,55112,0.0620181222990202,0.0208004255812674,0.0016553859,0.22160242,0.2199470341,8.86031444583152e-05
"snap_rate_all_bayes",295,55112,0.0972764230808191,0.0591414769808505,0.0015144399,0.5039919,0.5024774601,0.00025192373146113
"poverty_rate_all_bayes",296,55112,0.128460947106692,0.0624892006321515,0.0074160709,0.45447308,0.4470570091,0.000266183960951331
"singlemom_rate_all_bayes",297,55112,0.153344329667858,0.0643801880181501,0.011192858,0.5754993,0.564306442,0.000274238960974089
"log_median_income_black_bayes",298,12814,10.565068857804,0.395366960478354,9.470252,11.759343,2.289091,0.00349267370120712
"baplus_rate_black_bayes",299,12814,0.19385947561553,0.107971402572835,0.0028013901,0.63067681,0.6278754199,0.000953819908958312
"unemployment_rate_black_bayes",300,12814,0.113386999947823,0.0389917666211811,0.004042842,0.30370441,0.299661568,0.000344453460847194
"snap_rate_black_bayes",301,12814,0.214145165145778,0.0956246741233747,0.013635728,0.53188938,0.518253652,0.00084474884824246
"poverty_rate_black_bayes",302,12814,0.233554997035102,0.102882060111588,0.0018640269,0.58594698,0.5840829531,0.000908860632266785
"singlemom_rate_black_bayes",303,12814,0.410174882127517,0.0935175318613964,0.088353455,0.66763812,0.579284665,0.00082613434298838
"log_median_income_hsp_bayes",304,17695,10.7507411869229,0.293854789231047,9.7036352,11.777829,2.0741938,0.00220905988749766
"baplus_rate_hsp_bayes",305,17695,0.143734299628466,0.0974203463097972,0.00123903,0.66334033,0.6621013,0.000732359611433436
"unemployment_rate_hsp_bayes",306,17695,0.0733012151103193,0.0266584183248316,0.0013314537,0.21984781,0.2185163563,0.000200405250292569
"snap_rate_hsp_bayes",307,17695,0.149165899557954,0.0704345397495809,0.007732932,0.55327028,0.545537348,0.000529493212829078
"poverty_rate_hsp_bayes",308,17695,0.19997859224009,0.0838757723099755,0.0018074209,0.54461348,0.5428060591,0.000630537976351204
"singlemom_rate_hsp_bayes",309,17695,0.209709734630958,0.0578712896304113,0.0075296657,0.53232598,0.5247963143,0.000435048701757875
"log_median_income_white_bayes",310,54000,10.9289562648222,0.298057567868023,9.6337481,12.321056,2.6873079,0.00128263555173771
"baplus_rate_white_bayes",311,54000,0.256420710457685,0.135136824437913,0.020699762,0.89244312,0.871743358,0.000581536300563767
"unemployment_rate_white_bayes",312,54000,0.0533676828970852,0.0141279467623155,0.0017822067,0.13173285,0.1299506433,6.07970028072811e-05
"snap_rate_white_bayes",313,54000,0.0763024718403696,0.043782458350738,0.00048875564,0.35825065,0.35776189436,0.000188409702276031
"poverty_rate_white_bayes",314,54000,0.101260361167896,0.0431780759373195,0.0071733575,0.38167259,0.3744992325,0.000185808854473908
"singlemom__rate_white_bayes",315,54000,0.126392740161667,0.0355859182133848,0.016351525,0.30397257,0.287621045,0.000153137409555487
