"leaid","ave_students_susp_in_sch","ave_students_susp_out_sch_single","ave_students_susp_out_sch_multiple","ave_students_arrested","ave_expulsions_no_ed_serv_white","ave_expulsions_no_ed_serv_black","ave_expulsions_no_ed_serv_hispanic","ave_expulsions_with_ed_serv_white","ave_expulsions_with_ed_serv_black","ave_expulsions_with_ed_serv_hispanic","ave_expulsions_zero_tolerance_white","ave_expulsions_zero_tolerance_black","ave_expulsions_zero_tolerance_hispanic","ave_percentage_students_susp_in_sch_white","ave_percentage_students_susp_in_sch_black","ave_percentage_students_susp_in_sch_hispanic"
904620,2.3963963963964,1.38738738738739,0.486486486486487,0.288288288288288,0.027027027027027,0.027027027027027,0,0.378378378378378,0.162162162162162,0.216216216216216,0.189189189189189,0.135135135135135,0.162162162162162,0.00100785988918919,0.0060771712972973,0.00170091664864865
904650,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00510204,0,0
904680,8.29411764705882,3.3921568627451,2.07843137254902,0.852941176470588,0,0,0,0.147058823529412,0.0588235294117647,0.0588235294117647,0,0,0,0.00678643730588235,0.0191079242941176,0.0123565383235294
904710,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0045843745,0.083333325,0
904740,5.97222222222222,1.9,0.616666666666667,0.05,0,0,0,0.15,0.0166666666666667,0.0333333333333333,0,0,0,0.003141103885,0.01204598695,0.0038506139
904830,33.3468834688347,12.4932249322493,14.7317073170732,2.73983739837398,0.016260162601626,0.0487804878048781,0.0487804878048781,0.227642276422764,0.504065040650406,0.626016260162602,0.0975609756097561,0.0813008130081301,0.105691056910569,0.00346831649756098,0.00865081611056911,0.00622131131056911
904860,8.37878787878788,1.24242424242424,0.818181818181818,0.378787878787879,0,0,0,0.409090909090909,0,0.136363636363636,0.0909090909090909,0,0.0909090909090909,0.00944034556363636,0.0326193468181818,0.0183161459545455
904890,11.3833333333333,4.35,1.76666666666667,0.716666666666667,0,0,0,1.45,0.3,0.3,0.65,0.1,0.1,0.011514932705,0.0547245325,0.0218219492
904920,5.35964912280702,1.63157894736842,0.679824561403509,0.403508771929825,0,0,0,0.118421052631579,0.131578947368421,0.302631578947368,0.0526315789473684,0,0.0263157894736842,0.000962321514473684,0.00591376219736842,0.00448050606578947
904950,10.6018518518519,6.87962962962963,3.58333333333333,1.5,0,0.0555555555555556,0,0.694444444444444,0.833333333333333,0.777777777777778,0.361111111111111,0.222222222222222,0.0833333333333333,0.00446107190277778,0.00947438417222222,0.00589663905833333
904980,3.13888888888889,0.472222222222222,0.194444444444444,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.01199662025,0.333333333333333,0.00535714333333333
905010,3.25,0.979166666666667,0.0625,0.0625,0,0,0.125,0.625,0,0.125,0,0,0,0.0040140443125,0.0287406625,0.010349825625
905040,3.14141414141414,0.656565656565657,0.111111111111111,0,0,0,0,0,0,0.0606060606060606,0,0,0,0.00160489761212121,0.0126698881818182,0.00489932512121212
905070,4.52380952380952,1.67857142857143,0.619047619047619,0.464285714285714,0.0714285714285714,0,0,0.178571428571429,0,0.107142857142857,0,0,0,0.00334640099642857,0.0114876103571429,0.00801658035714286
905100,2.875,0.5,0.166666666666667,0.0833333333333333,0,0,0,0.25,0,0,0.25,0,0,0.014378162125,0,0.01892857125
905130,3.52083333333333,0.875,0.479166666666667,0.166666666666667,0,0,0,0.8125,0,0,0.1875,0,0,0.00279609754375,0.0066459275,0.00350152375
905190,18.3809523809524,6.96428571428571,6.01190476190476,1.26190476190476,0,0,0,0.607142857142857,0.285714285714286,2.53571428571429,0.5,0.178571428571429,1.39285714285714,0.0105410811785714,0.0324872185714286,0.0207181176785714
905220,17.8214285714286,4.85714285714286,2.52380952380952,0.369047619047619,0,0,0,0.142857142857143,0.75,0.107142857142857,0.0714285714285714,0.428571428571429,0.0714285714285714,0.00811491046428572,0.0288026970714286,0.0197090512857143
905250,6.96491228070175,3.01754385964912,1.15789473684211,0.859649122807018,0.105263157894737,0.105263157894737,0,1.52631578947368,0.684210526315789,0.210526315789474,1.42105263157895,0.578947368421053,0,0.0142484562105263,0.0350235036842105,0.0127012968947368
905280,5.85507246376812,1.66666666666667,0.695652173913043,0.347826086956522,0.173913043478261,0,0,0.565217391304348,0,0.217391304347826,0,0,0.0434782608695652,0.00739168173913043,0.0230039534782609,0.0133758830434783
905310,0.4,0.333333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0012944984,0.013333334,0
905370,2.45833333333333,0.541666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.0062631485,0.0138888875,0.006944445
905372,23,9.58333333333333,4.75,0.333333333333333,0,0,0,0,0,0,0,0,0,0.18775723,0.33690475,0.3142857
905373,13.1666666666667,4.08333333333333,2.41666666666667,1.41666666666667,0,0,0,9.5,0,0.5,6.5,0,0.5,Inf,NA,Inf
1000004,0,1.58333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1000005,6,4.75,1.83333333333333,0.833333333333333,0,0,0,0,0,0,0,0,0,0.239647185,0.24810605,Inf
1000006,22.5833333333333,21.8333333333333,12.4166666666667,0.166666666666667,0,0,0,0,0,0,0,0.5,0,NA,0.1432785565,0.052564095
1000007,7.25,6.83333333333333,10.9166666666667,0.333333333333333,0,0,0,0,0.5,0,0,0.5,0,0.02111251275,0.0627238875,0.01235119
1000010,16.9166666666667,9.25,18.25,0,0,0,0,0,0,0,0,0,0,0.25,0.06290738575,0
1000011,0.5,2.41666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0016675745,0.025,0
1000014,0,7.91666666666667,7.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0
1000015,0.5,4.16666666666667,0.75,0,0,0,0,0,0,0,0,0,0,0.0003481895,0.004464285,0
1000016,3.66666666666667,5.16666666666667,1.91666666666667,0,0,0,0,0,0,0,0,0,0,Inf,Inf,Inf
1000017,4.33333333333333,8.41666666666667,5.75,0,0,0,0,0,0,0,0,0,0,0.0785984925,0.0506868475,0.05
1000018,2.91666666666667,3.41666666666667,1.83333333333333,0.166666666666667,0,0,0,0,1.25,0,0,0,0,0.005370975,0.021812865,0
1000019,4.66666666666667,4.66666666666667,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0.0139368175,0.0247034425,0.03018018
1000021,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1000022,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1000023,1.33333333333333,14.6666666666667,22.3333333333333,0,0,4,0,0,2,0,0,0,0,0,0.02439024,0
1000024,8.11111111111111,16.6666666666667,15.1111111111111,1.11111111111111,0,0,0,0,0,0,0,0,0,0.0107526866666667,0.0308339666666667,0.00555555666666667
